"sampling";"biomass";"species";"normB"
"2015 May Tat";4997776.2441183;"cod";1.19150493077566
"2015 May Tat";33806175.1635464;"herring";1.07846055873913
"2015 May Tat";15422.6075534141;"flounder";0.954081808324578
"2015 May Tat";9372.49815395057;"plaice";0.905467061511463
"2015 May Tat";2838.38424772635;"dab";1.12194917763985
"2015 Jun Tat";4747500.41766171;"cod";1.13183741732347
"2015 Jun Tat";33565221.8575291;"herring";1.07077383772498
"2015 Jun Tat";14399.8105234293;"flounder";0.89080897741468
"2015 Jun Tat";8495.64452950898;"plaice";0.820755167024278
"2015 Jun Tat";2149.73742620733;"dab";0.849742644748307
"2015 Aug Tat";4323114.99863736;"cod";1.03066095510952
"2015 Aug Tat";33211469.1515708;"herring";1.05948867047144
"2015 Aug Tat";17853.2939487194;"flounder";1.10445026342992
"2015 Aug Tat";9976.48426235934;"plaice";0.963817515978517
"2015 Aug Tat";3983.83469506197;"dab";1.57471986520439
"2015 Sep Tat";4246043.2568944;"cod";1.01228651099184
"2015 Sep Tat";33397081.8127208;"herring";1.06540995358863
"2015 Sep Tat";15799.5940232656;"flounder";0.97740315211318
"2015 Sep Tat";10543.2168414269;"plaice";1.01856894666456
"2015 Sep Tat";2092.45205605793;"dab";0.827099031931829
"2015 Apr Måkläppen";5319590.80214071;"cod";1.26822777988887
"2015 Apr Måkläppen";34092367.6852976;"herring";1.08759046904166
"2015 Apr Måkläppen";18664.1705332888;"flounder";1.15461315549954
"2015 Apr Måkläppen";9287.73583088082;"plaice";0.8972782637826
"2015 Apr Måkläppen";2721.01676403712;"dab";1.07555646251953
"2015 May Måkläppen";5034598.99825046;"cod";1.20028373378126
"2015 May Måkläppen";33671266.800755;"herring";1.0741568080897
"2015 May Måkläppen";15683.5438061387;"flounder";0.970223989923555
"2015 May Måkläppen";10010.4612577007;"plaice";0.96709999730051
"2015 May Måkläppen";2770.68882369058;"dab";1.09519070567195
"2015 Jun Måkläppen";4757171.40492997;"cod";1.13414304855879
"2015 Jun Måkläppen";33533149.7233853;"herring";1.06975069530969
"2015 Jun Måkläppen";13952.9388651888;"flounder";0.86316435776742
"2015 Jun Måkläppen";9183.13051303619;"plaice";0.887172455468589
"2015 Jun Måkläppen";3027.22546552385;"dab";1.19659384535252
"2015 Oct Tat";4105187.7636968;"cod";0.978705572895764
"2015 Oct Tat";33930855.162871;"herring";1.08243801141115
"2015 Oct Tat";18325.7727153758;"flounder";1.13367900406443
"2015 Oct Tat";11462.6411818465;"plaice";1.10739355266899
"2015 Oct Tat";2064.96106559959;"dab";0.816232464390119
"2016 Jan Tat";3965500.91932833;"cod";0.945403248882079
"2016 Jan Tat";33520673.6712179;"herring";1.06935269316581
"2016 Jan Tat";19177.8246299036;"flounder";1.18638910698208
"2016 Jan Tat";11422.2410108549;"plaice";1.10349053519046
"2016 Jan Tat";2954.87369230276;"dab";1.16799482373267
"2016 Feb Tat";3768678.72663769;"cod";0.89847945685498
"2016 Feb Tat";33457717.9102674;"herring";1.06734432325109
"2016 Feb Tat";18033.8303876139;"flounder";1.11561870764355
"2016 Feb Tat";7781.32162892944;"plaice";0.751745192614683
"2016 Feb Tat";2406.29935424582;"dab";0.951155779494618
"2016 Mar Tat";3595689.36839794;"cod";0.85723757981878
"2016 Mar Tat";33436399.138945;"herring";1.06666422696925
"2016 Mar Tat";15424.8332300488;"flounder";0.954219494353419
"2016 Mar Tat";10246.4024096277;"plaice";0.989894020624468
"2016 Mar Tat";2876.05444031826;"dab";1.13683935384975
"2016 Aug Tat";2626226.64964555;"cod";0.626110864020714
"2016 Aug Tat";31065163.8547428;"herring";0.991018765241288
"2016 Aug Tat";15122.3333806425;"flounder";0.935506082737395
"2016 Aug Tat";9372.59861384083;"plaice";0.905476766834435
"2016 Aug Tat";4328.31770348703;"dab";1.71088621700224
"2016 Jun Tat";2918827.66856349;"cod";0.695869000392068
"2016 Jun Tat";31949410.0711665;"herring";1.01922735920419
"2016 Jun Tat";15178.4778396973;"flounder";0.938979322060695
"2016 Jun Tat";10781.7365602435;"plaice";1.04161208258862
"2016 Jun Tat";3366.09218132088;"dab";1.33054020353942
"2016 Jul Tat";2719449.17349317;"cod";0.648335767937635
"2016 Jul Tat";31377248.6139048;"herring";1.00097467128838
